 Procedimentos hospitalares do SUS - por local de internação - São Paulo
Internações por Ano/mês atendimento
Município: 354990 SAO JOSE DOS CAMPOS
Período:2019-2022
"Ano/mês atendimento";"Internações"
"2018";1492
"..Setembro/2018";2
"..Outubro/2018";30
"..Novembro/2018";294
"..Dezembro/2018";1166
"2019";46743
"..Janeiro/2019";3856
"..Fevereiro/2019";3601
"..Março/2019";3642
"..Abril/2019";3929
"..Maio/2019";4065
"..Junho/2019";3903
"..Julho/2019";4079
"..Agosto/2019";4062
"..Setembro/2019";3899
"..Outubro/2019";4101
"..Novembro/2019";4094
"..Dezembro/2019";3512
"2020";41915
"..Janeiro/2020";3926
"..Fevereiro/2020";3863
"..Março/2020";3633
"..Abril/2020";2632
"..Maio/2020";2940
"..Junho/2020";2911
"..Julho/2020";3325
"..Agosto/2020";3598
"..Setembro/2020";3609
"..Outubro/2020";3715
"..Novembro/2020";3964
"..Dezembro/2020";3799
"2021";43811
"  Janeiro/2021";3369
"  Fevereiro/2021";3273
"  Março/2021";3810
"  Abril/2021";3315
"  Maio/2021";3702
"  Junho/2021";3635
"  Julho/2021";3997
"  Agosto/2021";3926
"  Setembro/2021";3595
"  Outubro/2021";3704
"  Novembro/2021";3827
"  Dezembro/2021";3658
"2022";45938
"..Janeiro/2022";3640
"..Fevereiro/2022";3583
"..Março/2022";3943
"..Abril/2022";3747
"..Maio/2022";4398
"..Junho/2022";3996
"..Julho/2022";3978
"..Agosto/2022";4325
"..Setembro/2022";4021
"..Outubro/2022";3702
"..Novembro/2022";3673
"..Dezembro/2022";2932
"Total";179899
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
