CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Ano/mês compet.
Município: 352440 JACAREI
Especialidade detalhada: ..Toráxica
Período:2019-2022
"Ano/mês compet.";"Quantidade_existente"
"2019/Jan";3
"2019/Fev";3
"2019/Mar";3
"2019/Abr";3
"2019/Mai";3
"2019/Jun";3
"2019/Jul";3
"2019/Ago";3
"2019/Set";3
"2019/Out";3
"2019/Nov";3
"2019/Dez";3
"2020/Jan";3
"2020/Fev";3
"2020/Mar";2
"2020/Abr";2
"2020/Mai";2
"2020/Jun";2
"2020/Jul";2
"2020/Ago";2
"2020/Set";2
"2020/Out";2
"2020/Nov";2
"2020/Dez";2
"2021/Jan";2
"2021/Fev";2
"2021/Mar";2
"2021/Abr";2
"2021/Mai";2
"2021/Jun";2
"2021/Jul";2
"2021/Ago";2
"2021/Set";2
"2021/Out";2
"2021/Nov";2
"2021/Dez";2
"2022/Jan";2
"2022/Fev";2
"2022/Mar";2
"2022/Abr";2
"2022/Mai";2
"2022/Jun";2
"2022/Jul";1
"2022/Ago";1
"2022/Set";1
"2022/Out";1
"2022/Nov";1
"2022/Dez";1
 A partir da competência de Janeiro 2010 os dados referentes
 a leitos Complementares foram retirados da consulta referente
 a leitos de Internação, passando a constituir uma consulta específica conforme descrito na Nota Técnica.
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
