CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Ano/mês compet.
Município: 352720 LORENA
Especialidade detalhada: ..Toráxica
Período:2019-2022
"Ano/mês compet.";"Quantidade_existente"
"2019/Jan";1
"2019/Fev";1
"2019/Mar";1
"2019/Abr";1
"2019/Mai";1
"2019/Jun";1
"2019/Jul";1
"2019/Ago";1
"2019/Set";1
"2019/Out";1
"2019/Nov";1
"2019/Dez";1
"2020/Jan";1
"2020/Fev";1
"2020/Mar";1
"2020/Abr";1
"2020/Mai";1
"2020/Jun";1
"2020/Jul";1
"2020/Ago";1
"2020/Set";1
"2020/Out";1
"2020/Nov";1
"2020/Dez";1
"2021/Jan";1
"2021/Fev";1
"2021/Mar";1
"2021/Abr";1
"2021/Mai";1
"2021/Jun";1
"2021/Jul";1
"2021/Ago";1
"2021/Set";1
"2021/Out";1
"2021/Nov";1
"2021/Dez";1
"2022/Jan";1
"2022/Fev";1
"2022/Mar";1
"2022/Abr";1
"2022/Mai";1
"2022/Jun";1
"2022/Jul";1
"2022/Ago";1
"2022/Set";1
"2022/Out";1
"2022/Nov";1
"2022/Dez";1
 A partir da competência de Janeiro 2010 os dados referentes
 a leitos Complementares foram retirados da consulta referente
 a leitos de Internação, passando a constituir uma consulta específica conforme descrito na Nota Técnica.
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
