 Morbidade Hospitalar do SUS - por local de internação - São Paulo
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês atendimento
Município: 352440 JACAREI
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2019-2022
"Ano/mês atendimento";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"2018";13;13;29634,92;26216,17;-;-;3418,75;-;-;2279,61;2279,61;171;13,2;1;7,69
"..Dezembro/2018";13;13;29634,92;26216,17;-;-;3418,75;-;-;2279,61;2279,61;171;13,2;1;7,69
"2019";846;846;1057569,26;883476,86;2769,27;-;168153,77;-;-;1250,08;1250,08;4280;5,1;145;17,14
"..Janeiro/2019";59;59;82583,16;69527,57;-;-;13055,59;-;-;1399,71;1399,71;297;5,0;11;18,64
"..Fevereiro/2019";50;50;107809,48;87806,92;297,84;-;19389,42;-;-;2156,19;2156,19;263;5,3;7;14,00
"..Março/2019";53;53;57850,30;47436,61;773,59;-;8777,93;-;-;1091,52;1091,52;256;4,8;10;18,87
"..Abril/2019";54;54;76106,52;62067,33;-;-;14039,19;-;-;1409,38;1409,38;227;4,2;8;14,81
"..Maio/2019";93;93;91209,29;75709,13;-;-;15500,16;-;-;980,75;980,75;390;4,2;13;13,98
"..Junho/2019";117;117;139738,84;117927,38;-;-;21811,46;-;-;1194,35;1194,35;488;4,2;16;13,68
"..Julho/2019";71;71;85035,38;71870,92;459,93;-;12152,80;-;-;1197,68;1197,68;506;7,1;20;28,17
"..Agosto/2019";77;77;87958,52;70454,85;1237,91;-;14825,60;-;-;1142,32;1142,32;340;4,4;11;14,29
"..Setembro/2019";76;76;84498,17;70511,08;-;-;13987,09;-;-;1111,82;1111,82;431;5,7;9;11,84
"..Outubro/2019";74;74;91888,96;79368,70;-;-;12520,26;-;-;1241,74;1241,74;411;5,6;16;21,62
"..Novembro/2019";67;67;90917,52;77622,85;-;-;13294,67;-;-;1356,98;1356,98;347;5,2;15;22,39
"..Dezembro/2019";55;55;61973,12;53173,52;-;-;8799,60;-;-;1126,78;1126,78;324;5,9;9;16,36
"2020";589;589;930761,01;816124,50;-;-;114636,51;-;-;1580,24;1580,24;3584;6,1;89;15,11
"..Janeiro/2020";39;39;56605,25;48884,82;-;-;7720,43;-;-;1451,42;1451,42;235;6,0;9;23,08
"..Fevereiro/2020";47;47;74958,81;64532,75;-;-;10426,06;-;-;1594,87;1594,87;246;5,2;5;10,64
"..Março/2020";61;61;114223,42;99637,57;-;-;14585,85;-;-;1872,52;1872,52;360;5,9;16;26,23
"..Abril/2020";21;21;35882,31;31126,33;-;-;4755,98;-;-;1708,68;1708,68;134;6,4;5;23,81
"..Maio/2020";20;20;58479,92;51184,36;-;-;7295,56;-;-;2924,00;2924,00;187;9,3;5;25,00
"..Junho/2020";71;71;63093,04;55795,80;-;-;7297,24;-;-;888,63;888,63;387;5,5;12;16,90
"..Julho/2020";95;95;142586,05;127048,69;-;-;15537,36;-;-;1500,91;1500,91;639;6,7;13;13,68
"..Agosto/2020";45;45;74445,63;66153,93;-;-;8291,70;-;-;1654,35;1654,35;247;5,5;7;15,56
"..Setembro/2020";44;44;53099,66;47186,93;-;-;5912,73;-;-;1206,81;1206,81;222;5,0;6;13,64
"..Outubro/2020";52;52;108422,18;95105,81;-;-;13316,37;-;-;2085,04;2085,04;394;7,6;5;9,62
"..Novembro/2020";48;48;86373,31;75386,86;-;-;10986,45;-;-;1799,44;1799,44;292;6,1;5;10,42
"..Dezembro/2020";46;46;62591,43;54080,65;-;-;8510,78;-;-;1360,68;1360,68;241;5,2;1;2,17
"2021";815;815;1392571,21;1210927,72;446,76;-;180723,78;-;-;1708,68;1708,68;4893;6,0;76;9,33
"  Janeiro/2021";41;41;41649,46;36287,33;-;-;5362,13;-;-;1015,84;1015,84;225;5,5;1;2,44
"  Fevereiro/2021";66;66;149943,79;129251,32;-;-;20692,47;-;-;2271,88;2271,88;418;6,3;7;10,61
"  Março/2021";95;95;131353,45;115520,39;-;-;15833,06;-;-;1382,67;1382,67;507;5,3;3;3,16
"  Abril/2021";53;53;83896,05;74481,36;-;-;9414,69;-;-;1582,94;1582,94;280;5,3;2;3,77
"  Maio/2021";62;62;104328,61;91189,37;-;-;13139,24;-;-;1682,72;1682,72;382;6,2;8;12,90
"  Junho/2021";66;66;168485,65;147350,46;-;-;21135,19;-;-;2552,81;2552,81;454;6,9;10;15,15
"  Julho/2021";73;73;86594,84;77846,35;-;-;8748,49;-;-;1186,23;1186,23;403;5,5;4;5,48
"  Agosto/2021";88;88;100908,64;88814,35;-;-;12094,29;-;-;1146,69;1146,69;532;6,0;8;9,09
"  Setembro/2021";42;42;85992,54;73842,45;-;-;12150,09;-;-;2047,44;2047,44;256;6,1;7;16,67
"  Outubro/2021";44;44;114089,73;97782,21;148,92;-;16000,95;-;-;2592,95;2592,95;277;6,3;4;9,09
"  Novembro/2021";92;92;157551,72;136185,48;148,92;-;21059,67;-;-;1712,52;1712,52;541;5,9;15;16,30
"  Dezembro/2021";93;93;167776,73;142376,65;148,92;-;25093,51;-;-;1804,05;1804,05;618;6,6;7;7,53
"2022";923;923;2007046,20;1739066,76;-;-;267979,44;-;-;2174,48;2174,48;6866;7,4;144;15,60
"..Janeiro/2022";90;90;174342,98;152710,13;-;-;21632,85;-;-;1937,14;1937,14;515;5,7;15;16,67
"..Fevereiro/2022";59;59;158474,06;134762,64;-;-;23711,42;-;-;2686,00;2686,00;463;7,8;18;30,51
"..Março/2022";80;80;143878,62;124769,94;-;-;19108,68;-;-;1798,48;1798,48;500;6,3;15;18,75
"..Abril/2022";73;73;127890,48;110037,69;-;-;17852,79;-;-;1751,92;1751,92;409;5,6;4;5,48
"..Maio/2022";100;100;233756,52;201742,17;-;-;32014,35;-;-;2337,57;2337,57;658;6,6;11;11,00
"..Junho/2022";95;95;214129,96;184886,58;-;-;29243,38;-;-;2254,00;2254,00;645;6,8;16;16,84
"..Julho/2022";81;81;172249,37;151049,42;-;-;21199,95;-;-;2126,54;2126,54;614;7,6;10;12,35
"..Agosto/2022";72;72;216202,21;186225,13;-;-;29977,08;-;-;3002,81;3002,81;708;9,8;8;11,11
"..Setembro/2022";89;89;190679,03;165050,55;-;-;25628,48;-;-;2142,46;2142,46;848;9,5;12;13,48
"..Outubro/2022";71;71;207696,17;180933,25;-;-;26762,92;-;-;2925,30;2925,30;674;9,5;14;19,72
"..Novembro/2022";68;68;110377,29;96723,23;-;-;13654,06;-;-;1623,20;1623,20;541;8,0;12;17,65
"..Dezembro/2022";45;45;57369,51;50176,03;-;-;7193,48;-;-;1274,88;1274,88;291;6,5;9;20,00
"Total";3186;3186;5417582,60;4675812,01;3216,03;-;734912,25;-;-;1700,43;1700,43;19794;6,2;455;14,28
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
