 Procedimentos hospitalares do SUS - por local de internação - São Paulo
AIH aprovadas por Ano/mês atendimento
Município: 352440 JACAREI
Procedimento: 0302040013 ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO COM COMPLICAÇÕES SISTÊMICAS, 0302040021 ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO SEM COMPLICAÇÕES SISTÊMICAS, 0303140097 TRATAMENTO DE HEMORRAGIAS DAS VIAS RESPIRATORIAS, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO
Período:2019-2022
"Ano/mês atendimento";"AIH_aprovadas"
"2018";1
"..Dezembro/2018";1
"2019";82
"..Janeiro/2019";7
"..Fevereiro/2019";6
"..Março/2019";10
"..Abril/2019";2
"..Maio/2019";2
"..Junho/2019";9
"..Julho/2019";3
"..Agosto/2019";8
"..Setembro/2019";8
"..Outubro/2019";4
"..Novembro/2019";12
"..Dezembro/2019";11
"2020";274
"..Janeiro/2020";5
"..Fevereiro/2020";5
"..Março/2020";11
"..Abril/2020";3
"..Maio/2020";8
"..Junho/2020";50
"..Julho/2020";71
"..Agosto/2020";22
"..Setembro/2020";21
"..Outubro/2020";25
"..Novembro/2020";26
"..Dezembro/2020";27
"2021";306
"  Janeiro/2021";15
"  Fevereiro/2021";18
"  Março/2021";54
"  Abril/2021";28
"  Maio/2021";30
"  Junho/2021";32
"  Julho/2021";35
"  Agosto/2021";45
"  Setembro/2021";14
"  Outubro/2021";4
"  Novembro/2021";20
"  Dezembro/2021";11
"2022";113
"..Janeiro/2022";7
"..Fevereiro/2022";6
"..Março/2022";5
"..Abril/2022";7
"..Maio/2022";11
"..Junho/2022";13
"..Julho/2022";11
"..Agosto/2022";11
"..Setembro/2022";12
"..Outubro/2022";16
"..Novembro/2022";10
"..Dezembro/2022";4
"Total";776
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
