 Procedimentos hospitalares do SUS - por local de internação - São Paulo
AIH aprovadas por Ano/mês atendimento
Município: 354990 SAO JOSE DOS CAMPOS
Procedimento: 0302040013 ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO COM COMPLICAÇÕES SISTÊMICAS, 0302040021 ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO SEM COMPLICAÇÕES SISTÊMICAS, 0303140097 TRATAMENTO DE HEMORRAGIAS DAS VIAS RESPIRATORIAS, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO
Período:2019-2022
"Ano/mês atendimento";"AIH_aprovadas"
"2018";17
"..Outubro/2018";1
"..Novembro/2018";7
"..Dezembro/2018";9
"2019";312
"..Janeiro/2019";24
"..Fevereiro/2019";20
"..Março/2019";22
"..Abril/2019";27
"..Maio/2019";31
"..Junho/2019";23
"..Julho/2019";33
"..Agosto/2019";27
"..Setembro/2019";24
"..Outubro/2019";30
"..Novembro/2019";32
"..Dezembro/2019";19
"2020";274
"..Janeiro/2020";20
"..Fevereiro/2020";19
"..Março/2020";30
"..Abril/2020";25
"..Maio/2020";28
"..Junho/2020";19
"..Julho/2020";24
"..Agosto/2020";38
"..Setembro/2020";15
"..Outubro/2020";25
"..Novembro/2020";18
"..Dezembro/2020";13
"2021";267
"  Janeiro/2021";21
"  Fevereiro/2021";22
"  Março/2021";28
"  Abril/2021";20
"  Maio/2021";29
"  Junho/2021";22
"  Julho/2021";24
"  Agosto/2021";21
"  Setembro/2021";8
"  Outubro/2021";21
"  Novembro/2021";20
"  Dezembro/2021";31
"2022";228
"..Janeiro/2022";24
"..Fevereiro/2022";17
"..Março/2022";20
"..Abril/2022";15
"..Maio/2022";20
"..Junho/2022";20
"..Julho/2022";20
"..Agosto/2022";25
"..Setembro/2022";26
"..Outubro/2022";12
"..Novembro/2022";19
"..Dezembro/2022";10
"Total";1098
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
