 Procedimentos hospitalares do SUS - por local de internação - São Paulo
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês atendimento
Município: 352440 JACAREI
Procedimento: 0302040013 ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO COM COMPLICAÇÕES SISTÊMICAS, 0302040021 ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO SEM COMPLICAÇÕES SISTÊMICAS, 0303140097 TRATAMENTO DE HEMORRAGIAS DAS VIAS RESPIRATORIAS, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO
Período:2019-2022
"Ano/mês atendimento";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"2018";1;1;2946,17;2881,94;-;-;64,23;-;-;2946,17;2946,17;17;17,0;-;-
"..Dezembro/2018";1;1;2946,17;2881,94;-;-;64,23;-;-;2946,17;2946,17;17;17,0;-;-
"2019";82;82;199773,91;178301,29;-;-;21472,62;-;-;2436,27;2436,27;577;7,0;31;37,80
"..Janeiro/2019";7;7;25944,01;23315,47;-;-;2628,54;-;-;3706,29;3706,29;55;7,9;1;14,29
"..Fevereiro/2019";6;6;13380,33;11972,88;-;-;1407,45;-;-;2230,05;2230,05;30;5,0;-;-
"..Março/2019";10;10;10535,82;9672,48;-;-;863,34;-;-;1053,58;1053,58;42;4,2;4;40,00
"..Abril/2019";2;2;1851,24;1645,38;-;-;205,86;-;-;925,62;925,62;5;2,5;1;50,00
"..Maio/2019";2;2;11510,13;10143,78;-;-;1366,35;-;-;5755,06;5755,06;31;15,5;1;50,00
"..Junho/2019";9;9;18009,12;16048,23;-;-;1960,89;-;-;2001,01;2001,01;49;5,4;3;33,33
"..Julho/2019";3;3;3828,95;3450,20;-;-;378,75;-;-;1276,32;1276,32;18;6,0;2;66,67
"..Agosto/2019";8;8;22136,37;19510,84;-;-;2625,53;-;-;2767,05;2767,05;74;9,3;2;25,00
"..Setembro/2019";8;8;22911,40;20475,02;-;-;2436,38;-;-;2863,93;2863,93;59;7,4;4;50,00
"..Outubro/2019";4;4;4300,34;3973,27;-;-;327,07;-;-;1075,09;1075,09;20;5,0;2;50,00
"..Novembro/2019";12;12;40234,97;35585,42;-;-;4649,55;-;-;3352,91;3352,91;88;7,3;6;50,00
"..Dezembro/2019";11;11;25131,23;22508,32;-;-;2622,91;-;-;2284,66;2284,66;106;9,6;5;45,45
"2020";274;274;340071,28;304767,59;-;-;35303,69;-;-;1241,14;1241,14;1657;6,0;38;13,87
"..Janeiro/2020";5;5;32093,48;28322,12;-;-;3771,36;-;-;6418,70;6418,70;77;15,4;3;60,00
"..Fevereiro/2020";5;5;29232,16;24400,49;-;-;4831,67;-;-;5846,43;5846,43;76;15,2;1;20,00
"..Março/2020";11;11;20414,53;16644,01;-;-;3770,52;-;-;1855,87;1855,87;85;7,7;6;54,55
"..Abril/2020";3;3;1935,61;1839,67;-;-;95,94;-;-;645,20;645,20;12;4,0;2;66,67
"..Maio/2020";8;8;32169,65;28465,20;-;-;3704,45;-;-;4021,21;4021,21;81;10,1;1;12,50
"..Junho/2020";50;50;27989,73;26151,12;-;-;1838,61;-;-;559,79;559,79;280;5,6;12;24,00
"..Julho/2020";71;71;65499,65;60008,93;-;-;5490,72;-;-;922,53;922,53;479;6,7;8;11,27
"..Agosto/2020";22;22;31222,98;28267,11;-;-;2955,87;-;-;1419,23;1419,23;110;5,0;3;13,64
"..Setembro/2020";21;21;29895,99;26819,78;-;-;3076,21;-;-;1423,62;1423,62;118;5,6;1;4,76
"..Outubro/2020";25;25;26469,95;24158,21;-;-;2311,74;-;-;1058,80;1058,80;109;4,4;1;4,00
"..Novembro/2020";26;26;17152,07;15980,87;-;-;1171,20;-;-;659,69;659,69;83;3,2;-;-
"..Dezembro/2020";27;27;25995,48;23710,08;-;-;2285,40;-;-;962,80;962,80;147;5,4;-;-
"2021";306;306;340687,53;310071,58;-;-;30615,95;-;-;1113,36;1113,36;1648;5,4;24;7,84
"  Janeiro/2021";15;15;7349,46;6908,46;-;-;441,00;-;-;489,96;489,96;81;5,4;-;-
"  Fevereiro/2021";18;18;9984,22;9387,22;-;-;597,00;-;-;554,68;554,68;98;5,4;-;-
"  Março/2021";54;54;54325,30;49665,06;-;-;4660,24;-;-;1006,02;1006,02;305;5,6;1;1,85
"  Abril/2021";28;28;16442,28;15531,93;-;-;910,35;-;-;587,22;587,22;114;4,1;-;-
"  Maio/2021";30;30;33220,39;30175,22;-;-;3045,17;-;-;1107,35;1107,35;175;5,8;2;6,67
"  Junho/2021";32;32;29123,21;26690,81;-;-;2432,40;-;-;910,10;910,10;109;3,4;6;18,75
"  Julho/2021";35;35;29160,94;26950,88;-;-;2210,06;-;-;833,17;833,17;149;4,3;1;2,86
"  Agosto/2021";45;45;33735,72;31420,95;-;-;2314,77;-;-;749,68;749,68;259;5,8;3;6,67
