 Procedimentos hospitalares do SUS - por local de internação - São Paulo
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês atendimento
Município: 355410 TAUBATE
Procedimento: 0302040013 ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO COM COMPLICAÇÕES SISTÊMICAS, 0302040021 ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO SEM COMPLICAÇÕES SISTÊMICAS, 0303140097 TRATAMENTO DE HEMORRAGIAS DAS VIAS RESPIRATORIAS, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO
Período:2019-2022
"Ano/mês atendimento";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"2018";3;3;124189,84;108070,84;-;-;16119,00;-;-;41396,61;41396,61;242;80,7;-;-
"..Novembro/2018";2;2;106930,30;92889,70;-;-;14040,60;-;-;53465,15;53465,15;206;103,0;-;-
"..Dezembro/2018";1;1;17259,54;15181,14;-;-;2078,40;-;-;17259,54;17259,54;36;36,0;-;-
"2019";76;76;477548,15;419278,82;-;-;58269,33;-;-;6283,53;6283,53;1244;16,4;8;10,53
"..Janeiro/2019";4;4;41885,46;36911,97;-;-;4973,49;-;-;10471,36;10471,36;97;24,3;1;25,00
"..Fevereiro/2019";1;1;2485,19;2237,69;-;-;247,50;-;-;2485,19;2485,19;1;1,0;1;100,00
"..Março/2019";7;7;54172,09;47510,86;-;-;6661,23;-;-;7738,87;7738,87;129;18,4;1;14,29
"..Abril/2019";11;11;72810,84;63674,16;-;-;9136,68;-;-;6619,17;6619,17;231;21,0;1;9,09
"..Maio/2019";9;9;38270,00;33740,13;-;-;4529,87;-;-;4252,22;4252,22;102;11,3;1;11,11
"..Junho/2019";6;6;80320,65;69973,71;-;-;10346,94;-;-;13386,78;13386,78;176;29,3;-;-
"..Julho/2019";8;8;30601,84;27070,12;-;-;3531,72;-;-;3825,23;3825,23;95;11,9;-;-
"..Agosto/2019";7;7;16422,20;14776,39;-;-;1645,81;-;-;2346,03;2346,03;72;10,3;-;-
"..Setembro/2019";4;4;18054,89;15770,25;-;-;2284,64;-;-;4513,72;4513,72;48;12,0;-;-
"..Outubro/2019";5;5;102661,10;89643,11;-;-;13017,99;-;-;20532,22;20532,22;216;43,2;-;-
"..Novembro/2019";8;8;13004,84;11750,59;-;-;1254,25;-;-;1625,61;1625,61;53;6,6;2;25,00
"..Dezembro/2019";6;6;6859,05;6219,84;-;-;639,21;-;-;1143,17;1143,17;24;4,0;1;16,67
"2020";64;64;482731,27;423427,18;-;-;59304,09;-;-;7542,68;7542,68;1119;17,5;10;15,63
"..Janeiro/2020";6;6;120275,48;105081,09;-;-;15194,39;-;-;20045,91;20045,91;245;40,8;1;16,67
"..Fevereiro/2020";7;7;18850,39;16795,12;-;-;2055,27;-;-;2692,91;2692,91;64;9,1;1;14,29
"..Março/2020";3;3;11336,60;10051,40;-;-;1285,20;-;-;3778,87;3778,87;25;8,3;-;-
"..Abril/2020";5;5;47439,88;41498,68;-;-;5941,20;-;-;9487,98;9487,98;90;18,0;1;20,00
"..Maio/2020";4;4;14335,92;12744,76;-;-;1591,16;-;-;3583,98;3583,98;34;8,5;1;25,00
"..Junho/2020";2;2;1202,17;1128,67;-;-;73,50;-;-;601,09;601,09;4;2,0;-;-
"..Julho/2020";8;8;62277,25;54404,35;-;-;7872,90;-;-;7784,66;7784,66;136;17,0;1;12,50
"..Agosto/2020";6;6;13533,92;12037,34;-;-;1496,58;-;-;2255,65;2255,65;40;6,7;-;-
"..Setembro/2020";9;9;54593,05;48240,12;-;-;6352,93;-;-;6065,89;6065,89;109;12,1;3;33,33
"..Outubro/2020";8;8;64385,24;56339,27;-;-;8045,97;-;-;8048,15;8048,15;193;24,1;1;12,50
"..Novembro/2020";3;3;24766,44;21786,54;-;-;2979,90;-;-;8255,48;8255,48;42;14,0;-;-
"..Dezembro/2020";3;3;49734,93;43319,84;-;-;6415,09;-;-;16578,31;16578,31;137;45,7;1;33,33
"2021";88;88;662430,30;581456,78;-;-;80973,52;-;-;7527,62;7527,62;1478;16,8;10;11,36
"  Janeiro/2021";4;4;58172,21;51040,31;-;-;7131,90;-;-;14543,05;14543,05;109;27,3;-;-
"  Fevereiro/2021";6;6;7594,26;7322,47;-;-;271,79;-;-;1265,71;1265,71;31;5,2;-;-
"  Março/2021";9;9;62121,32;54416,42;-;-;7704,90;-;-;6902,37;6902,37;141;15,7;-;-
"  Abril/2021";10;10;55488,75;48948,45;-;-;6540,30;-;-;5548,87;5548,87;107;10,7;1;10,00
"  Maio/2021";6;6;38455,86;33655,51;-;-;4800,35;-;-;6409,31;6409,31;76;12,7;-;-
"  Junho/2021";4;4;75198,99;65612,19;-;-;9586,80;-;-;18799,75;18799,75;148;37,0;1;25,00
"  Julho/2021";8;8;74864,93;65776,13;-;-;9088,80;-;-;9358,12;9358,12;144;18,0;-;-
"  Agosto/2021";8;8;88019,03;76285,85;-;-;11733,18;-;-;11002,38;11002,38;132;16,5;2;25,00
"  Setembro/2021";9;9;23850,67;21099,52;-;-;2751,15;-;-;2650,07;2650,07;100;11,1;2;22,22
"  Outubro/2021";11;11;141550,61;124097,88;-;-;17452,73;-;-;12868,24;12868,24;358;32,5;3;27,27
"  Novembro/2021";7;7;14182,21;12734,97;-;-;1447,24;-;-;2026,03;2026,03;46;6,6;1;14,29
"  Dezembro/2021";6;6;22931,46;20467,08;-;-;2464,38;-;-;3821,91;3821,91;86;14,3;-;-
"2022";112;112;578512,16;505488,42;-;-;73023,74;-;-;5165,29;5165,29;1382;12,3;20;17,86
"..Janeiro/2022";6;6;105718,27;91703,17;-;-;14015,10;-;-;17619,71;17619,71;247;41,2;1;16,67
"..Fevereiro/2022";6;6;27095,30;23748,43;-;-;3346,87;-;-;4515,88;4515,88;65;10,8;2;33,33
"..Março/2022";11;11;24847,02;22050,27;-;-;2796,75;-;-;2258,82;2258,82;88;8,0;3;27,27
"..Abril/2022";10;10;10869,86;9892,60;-;-;977,26;-;-;1086,99;1086,99;38;3,8;4;40,00
"..Maio/2022";10;10;148219,02;128902,56;-;-;19316,46;-;-;14821,90;14821,90;254;25,4;1;10,00
"..Junho/2022";12;12;33080,66;29167,05;-;-;3913,61;-;-;2756,72;2756,72;87;7,3;1;8,33
"..Julho/2022";6;6;30972,80;26957,30;-;-;4015,50;-;-;5162,13;5162,13;63;10,5;-;-
"..Agosto/2022";13;13;106727,08;92798,81;-;-;13928,27;-;-;8209,78;8209,78;287;22,1;3;23,08
"..Setembro/2022";10;10;16635,86;14887,72;-;-;1748,14;-;-;1663,59;1663,59;60;6,0;1;10,00
"..Outubro/2022";6;6;22427,49;19453,55;-;-;2973,94;-;-;3737,92;3737,92;36;6,0;2;33,33
"..Novembro/2022";12;12;27412,42;24220,83;-;-;3191,59;-;-;2284,37;2284,37;93;7,8;1;8,33
"..Dezembro/2022";10;10;24506,38;21706,13;-;-;2800,25;-;-;2450,64;2450,64;64;6,4;1;10,00
"Total";343;343;2325411,72;2037722,04;-;-;287689,68;-;-;6779,63;6779,63;5465;15,9;48;13,99
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
