 Procedimentos hospitalares do SUS - por local de internação - São Paulo
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês atendimento
Município: 354990 SAO JOSE DOS CAMPOS
Procedimento: 0303040300 TRATAMENTO DO ACIDENTE VASCULAR CEREBRAL ISQUÊMICO AGUDO COM USO DE TROMBOLÍTICO, 0303060298 TRATAMENTO DE TROMBOSE VENOSA PROFUNDA
Período:2019-2022
"Ano/mês atendimento";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"2018";6;6;2022,08;1718,00;-;-;304,08;-;-;337,01;337,01;15;2,5;-;-
"..Novembro/2018";2;2;644,96;543,60;-;-;101,36;-;-;322,48;322,48;5;2,5;-;-
"..Dezembro/2018";4;4;1377,12;1174,40;-;-;202,72;-;-;344,28;344,28;10;2,5;-;-
"2019";181;181;91732,76;81396,14;-;-;10336,62;-;-;506,81;506,81;876;4,8;3;1,66
"..Janeiro/2019";21;21;9005,77;7941,49;-;-;1064,28;-;-;428,85;428,85;69;3,3;-;-
"..Fevereiro/2019";14;14;6955,49;6110,37;-;-;845,12;-;-;496,82;496,82;65;4,6;1;7,14
"..Março/2019";14;14;5830,80;5059,36;-;-;771,44;-;-;416,49;416,49;78;5,6;-;-
"..Abril/2019";20;20;9920,89;8802,81;-;-;1118,08;-;-;496,04;496,04;119;6,0;-;-
"..Maio/2019";14;14;6916,58;6199,32;-;-;717,26;-;-;494,04;494,04;89;6,4;-;-
"..Junho/2019";10;10;3739,81;3233,01;-;-;506,80;-;-;373,98;373,98;35;3,5;-;-
"..Julho/2019";9;9;5012,77;4506,34;-;-;506,43;-;-;556,97;556,97;48;5,3;1;11,11
"..Agosto/2019";15;15;5973,12;5212,92;-;-;760,20;-;-;398,21;398,21;61;4,1;-;-
"..Setembro/2019";18;18;8483,01;7566,90;-;-;916,11;-;-;471,28;471,28;81;4,5;-;-
"..Outubro/2019";15;15;7323,75;6544,20;-;-;779,55;-;-;488,25;488,25;66;4,4;-;-
"..Novembro/2019";13;13;6018,13;5351,55;-;-;666,58;-;-;462,93;462,93;49;3,8;1;7,69
"..Dezembro/2019";18;18;16552,64;14867,87;-;-;1684,77;-;-;919,59;919,59;116;6,4;-;-
"2020";141;141;82722,59;73678,30;-;-;9044,29;-;-;586,69;586,69;798;5,7;5;3,55
"..Janeiro/2020";13;13;7919,85;7063,49;-;-;856,36;-;-;609,22;609,22;77;5,9;-;-
"..Fevereiro/2020";8;8;3740,12;3292,44;-;-;447,68;-;-;467,51;467,51;34;4,3;-;-
"..Março/2020";9;9;3587,70;3131,58;-;-;456,12;-;-;398,63;398,63;24;2,7;-;-
"..Abril/2020";11;11;7630,68;6797,32;-;-;833,36;-;-;693,70;693,70;59;5,4;-;-
"..Maio/2020";11;11;4943,57;4362,87;-;-;580,70;-;-;449,42;449,42;60;5,5;1;9,09
"..Junho/2020";14;14;6993,70;6260,96;-;-;732,74;-;-;499,55;499,55;70;5,0;2;14,29
"..Julho/2020";13;13;14957,75;13198,63;-;-;1759,12;-;-;1150,60;1150,60;103;7,9;1;7,69
"..Agosto/2020";7;7;4108,30;3749,67;-;-;358,63;-;-;586,90;586,90;40;5,7;-;-
"..Setembro/2020";15;15;6188,44;5412,76;-;-;775,68;-;-;412,56;412,56;75;5,0;-;-
"..Outubro/2020";12;12;6471,11;5847,47;-;-;623,64;-;-;539,26;539,26;79;6,6;-;-
"..Novembro/2020";13;13;8465,50;7721,54;-;-;743,96;-;-;651,19;651,19;81;6,2;1;7,69
"..Dezembro/2020";15;15;7715,87;6839,57;-;-;876,30;-;-;514,39;514,39;96;6,4;-;-
"2021";97;97;72473,00;64959,04;-;-;7513,96;-;-;747,14;747,14;599;6,2;8;8,25
"  Janeiro/2021";9;9;13397,34;11915,70;-;-;1481,64;-;-;1488,59;1488,59;78;8,7;1;11,11
"  Fevereiro/2021";2;2;1158,18;1045,21;-;-;112,97;-;-;579,09;579,09;14;7,0;-;-
"  Março/2021";10;10;4943,67;4436,87;-;-;506,80;-;-;494,37;494,37;33;3,3;1;10,00
"  Abril/2021";10;10;11281,30;10162,44;-;-;1118,86;-;-;1128,13;1128,13;72;7,2;1;10,00
"  Maio/2021";10;10;11877,36;10888,13;-;-;989,23;-;-;1187,74;1187,74;59;5,9;2;20,00
"  Junho/2021";4;4;2040,18;1837,46;-;-;202,72;-;-;510,04;510,04;16;4,0;-;-
"  Julho/2021";8;8;3370,15;2964,71;-;-;405,44;-;-;421,27;421,27;46;5,8;-;-
"  Agosto/2021";5;5;3364,72;3061,01;-;-;303,71;-;-;672,94;672,94;43;8,6;-;-
"  Setembro/2021";8;8;3323,30;2910,12;-;-;413,18;-;-;415,41;415,41;53;6,6;-;-
"  Outubro/2021";10;10;6239,32;5366,43;-;-;872,89;-;-;623,93;623,93;65;6,5;1;10,00
"  Novembro/2021";8;8;5233,86;4786,18;-;-;447,68;-;-;654,23;654,23;46;5,8;1;12,50
"  Dezembro/2021";13;13;6243,62;5584,78;-;-;658,84;-;-;480,28;480,28;74;5,7;1;7,69
"2022";90;90;91800,72;83755,85;-;-;8044,87;-;-;1020,01;1020,01;625;6,9;5;5,56
"..Janeiro/2022";7;7;15510,82;14247,86;-;-;1262,96;-;-;2215,83;2215,83;81;11,6;1;14,29
"..Fevereiro/2022";7;7;3263,50;2908,74;-;-;354,76;-;-;466,21;466,21;39;5,6;-;-
"..Março/2022";14;14;6321,93;5573,72;-;-;748,21;-;-;451,57;451,57;72;5,1;1;7,14
"..Abril/2022";8;8;10260,81;9638,66;-;-;622,15;-;-;1282,60;1282,60;98;12,3;-;-
"..Maio/2022";6;6;6160,07;5458,25;-;-;701,82;-;-;1026,68;1026,68;31;5,2;2;33,33
"..Junho/2022";10;10;13366,38;12029,81;-;-;1336,57;-;-;1336,64;1336,64;78;7,8;-;-
"..Julho/2022";9;9;5484,11;4989,30;-;-;494,81;-;-;609,35;609,35;65;7,2;-;-
"..Agosto/2022";4;4;1952,68;1749,96;-;-;202,72;-;-;488,17;488,17;20;5,0;1;25,00
"..Setembro/2022";7;7;4185,45;3780,72;-;-;404,73;-;-;597,92;597,92;38;5,4;-;-
"..Outubro/2022";8;8;16806,07;15712,59;-;-;1093,48;-;-;2100,76;2100,76;63;7,9;-;-
"..Novembro/2022";5;5;5294,82;4725,56;-;-;569,26;-;-;1058,96;1058,96;20;4,0;-;-
"..Dezembro/2022";5;5;3194,08;2940,68;-;-;253,40;-;-;638,82;638,82;20;4,0;-;-
"Total";515;515;340751,15;305507,33;-;-;35243,82;-;-;661,65;661,65;2913;5,7;21;4,08
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
