 Procedimentos hospitalares do SUS - por local de internação - São Paulo
Internações por Ano/mês atendimento
Município: 352440 JACAREI
Subgrupo proced.: 0406 Cirurgia do aparelho circulatório
Período:2019-2022
"Ano/mês atendimento";"Internações"
"2019";165
"..Janeiro/2019";14
"..Fevereiro/2019";18
"..Março/2019";15
"..Abril/2019";16
"..Maio/2019";14
"..Junho/2019";2
"..Julho/2019";16
"..Agosto/2019";16
"..Setembro/2019";13
"..Outubro/2019";16
"..Novembro/2019";14
"..Dezembro/2019";11
"2020";124
"..Janeiro/2020";15
"..Fevereiro/2020";14
"..Março/2020";8
"..Abril/2020";6
"..Maio/2020";8
"..Junho/2020";9
"..Agosto/2020";12
"..Setembro/2020";16
"..Outubro/2020";16
"..Novembro/2020";14
"..Dezembro/2020";6
"2021";173
"  Janeiro/2021";13
"  Fevereiro/2021";15
"  Março/2021";9
"  Abril/2021";1
"  Julho/2021";4
"  Agosto/2021";9
"  Setembro/2021";15
"  Outubro/2021";57
"  Novembro/2021";40
"  Dezembro/2021";10
"2022";152
"..Março/2022";15
"..Abril/2022";15
"..Maio/2022";18
"..Junho/2022";17
"..Julho/2022";15
"..Agosto/2022";17
"..Setembro/2022";14
"..Outubro/2022";17
"..Novembro/2022";16
"..Dezembro/2022";8
"Total";614
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
