 Procedimentos hospitalares do SUS - por local de internação - São Paulo
Internações por Ano/mês atendimento
Município: 355410 TAUBATE
Subgrupo proced.: 0406 Cirurgia do aparelho circulatório
Período:2019-2022
"Ano/mês atendimento";"Internações"
"2018";24
"..Outubro/2018";1
"..Novembro/2018";3
"..Dezembro/2018";20
"2019";1685
"..Janeiro/2019";144
"..Fevereiro/2019";145
"..Março/2019";147
"..Abril/2019";130
"..Maio/2019";137
"..Junho/2019";109
"..Julho/2019";135
"..Agosto/2019";150
"..Setembro/2019";148
"..Outubro/2019";153
"..Novembro/2019";154
"..Dezembro/2019";133
"2020";1266
"..Janeiro/2020";141
"..Fevereiro/2020";98
"..Março/2020";97
"..Abril/2020";78
"..Maio/2020";83
"..Junho/2020";89
"..Julho/2020";94
"..Agosto/2020";105
"..Setembro/2020";123
"..Outubro/2020";120
"..Novembro/2020";137
"..Dezembro/2020";101
"2021";1328
"  Janeiro/2021";109
"  Fevereiro/2021";97
"  Março/2021";114
"  Abril/2021";100
"  Maio/2021";110
"  Junho/2021";107
"  Julho/2021";110
"  Agosto/2021";123
"  Setembro/2021";118
"  Outubro/2021";68
"  Novembro/2021";139
"  Dezembro/2021";133
"2022";1556
"..Janeiro/2022";131
"..Fevereiro/2022";107
"..Março/2022";144
"..Abril/2022";124
"..Maio/2022";149
"..Junho/2022";93
"..Julho/2022";88
"..Agosto/2022";141
"..Setembro/2022";136
"..Outubro/2022";153
"..Novembro/2022";157
"..Dezembro/2022";133
"Total";5859
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
