 Procedimentos hospitalares do SUS - por local de internação - São Paulo
AIH aprovadas por Ano/mês atendimento
Município: 355410 TAUBATE
Procedimento: 0302040030 ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO CLÍNICO CARDIOVASCULAR, 0302040048 ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE PRÉ/PÓS CIRURGIA CARDIOVASCULAR, 0303060034 TRATAMENTO DE CARDIOPATIA HIPERTROFICA, 0303060042 TRATAMENTO DE CARDIOPATIA ISQUEMICA CRONICA, 0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCÁRDIO, 0303060239 TRATAMENTO DE MIOCARDIOPATIAS, 0303130024 ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES CARDIOVASCULARES, 0303140062 TRATAMENTO DE CARDIOPATIA PULMONAR NAO ESPECIFICADA (COR PULMONALE)
Período:2019-2022
"Ano/mês atendimento";"AIH_aprovadas"
"2018";2
"..Dezembro/2018";2
"2019";83
"..Janeiro/2019";8
"..Fevereiro/2019";5
"..Março/2019";8
"..Abril/2019";5
"..Maio/2019";10
"..Junho/2019";7
"..Julho/2019";7
"..Agosto/2019";9
"..Setembro/2019";4
"..Outubro/2019";4
"..Novembro/2019";8
"..Dezembro/2019";8
"2020";88
"..Janeiro/2020";8
"..Fevereiro/2020";3
"..Março/2020";7
"..Abril/2020";4
"..Maio/2020";4
"..Junho/2020";5
"..Julho/2020";5
"..Agosto/2020";12
"..Setembro/2020";10
"..Outubro/2020";12
"..Novembro/2020";12
"..Dezembro/2020";6
"2021";92
"  Janeiro/2021";4
"  Fevereiro/2021";7
"  Março/2021";12
"  Abril/2021";7
"  Maio/2021";5
"  Junho/2021";5
"  Julho/2021";6
"  Agosto/2021";10
"  Setembro/2021";9
"  Outubro/2021";8
"  Novembro/2021";8
"  Dezembro/2021";11
"2022";51
"..Janeiro/2022";6
"..Fevereiro/2022";5
"..Março/2022";13
"..Abril/2022";8
"..Maio/2022";4
"..Junho/2022";4
"..Julho/2022";3
"..Agosto/2022";2
"..Setembro/2022";3
"..Outubro/2022";1
"..Novembro/2022";1
"..Dezembro/2022";1
"Total";316
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
