 Procedimentos hospitalares do SUS - por local de internação - São Paulo
AIH aprovadas por Ano/mês atendimento
Município: 354990 SAO JOSE DOS CAMPOS
Procedimento: 0303060298 TRATAMENTO DE TROMBOSE VENOSA PROFUNDA
Período:Mar/2019-Dez/2022
"Ano/mês atendimento";"AIH_aprovadas"
"2018";2
"..Dezembro/2018";2
"2019";156
"..Janeiro/2019";5
"..Fevereiro/2019";5
"..Março/2019";14
"..Abril/2019";20
"..Maio/2019";14
"..Junho/2019";10
"..Julho/2019";9
"..Agosto/2019";15
"..Setembro/2019";18
"..Outubro/2019";15
"..Novembro/2019";13
"..Dezembro/2019";18
"2020";141
"..Janeiro/2020";13
"..Fevereiro/2020";8
"..Março/2020";9
"..Abril/2020";11
"..Maio/2020";11
"..Junho/2020";14
"..Julho/2020";13
"..Agosto/2020";7
"..Setembro/2020";15
"..Outubro/2020";12
"..Novembro/2020";13
"..Dezembro/2020";15
"2021";97
"  Janeiro/2021";9
"  Fevereiro/2021";2
"  Março/2021";10
"  Abril/2021";10
"  Maio/2021";10
"  Junho/2021";4
"  Julho/2021";8
"  Agosto/2021";5
"  Setembro/2021";8
"  Outubro/2021";10
"  Novembro/2021";8
"  Dezembro/2021";13
"2022";90
"..Janeiro/2022";7
"..Fevereiro/2022";7
"..Março/2022";14
"..Abril/2022";8
"..Maio/2022";6
"..Junho/2022";10
"..Julho/2022";9
"..Agosto/2022";4
"..Setembro/2022";7
"..Outubro/2022";8
"..Novembro/2022";5
"..Dezembro/2022";5
"Total";486
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
