 Produção Ambulatorial do SUS - São Paulo - por local de atendimento
Qtd.aprovada por Ano/mês atendimento
Município: 354990 SAO JOSE DOS CAMPOS
Procedimento: 0301070229 REABILITACAO CARDIORRESPIRATORIA DE PACIENTES POS COVID-19, 0302040013 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO COM COMPLICACOES SISTEMICAS, 0302040021 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO SEM COMPLICACOES SISTEMICAS, 0303140089 TRATAMENTO DE DOENCAS RESPIRATORIAS QUE AFETAM PRINCIPALMENTE O INTERSTICIO, 0303140097 TRATAMENTO DE HEMORRAGIAS DAS VIAS RESPIRATORIAS, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0308010027 TRATAMENTO DE EFEITOS DE ASFIXIA / OUTROS RISCOS A RESPIRACAO
Período:2019-2022
"Ano/mês atendimento";"Qtd.aprovada"
"2018";65
"..Novembro/2018";31
"..Dezembro/2018";34
"2019";802
"..Janeiro/2019";65
"..Fevereiro/2019";89
"..Março/2019";135
"..Abril/2019";26
"..Maio/2019";86
"..Junho/2019";66
"..Julho/2019";32
"..Agosto/2019";60
"..Setembro/2019";39
"..Outubro/2019";88
"..Novembro/2019";59
"..Dezembro/2019";57
"2020";638
"..Janeiro/2020";70
"..Fevereiro/2020";77
"..Março/2020";46
"..Abril/2020";16
"..Maio/2020";50
"..Junho/2020";102
"..Julho/2020";26
"..Agosto/2020";40
"..Setembro/2020";45
"..Outubro/2020";44
"..Novembro/2020";61
"..Dezembro/2020";61
"2021";1439
"  Janeiro/2021";131
"  Fevereiro/2021";28
"  Março/2021";103
"  Abril/2021";127
"  Maio/2021";129
"  Junho/2021";75
"  Julho/2021";143
"  Agosto/2021";212
"  Setembro/2021";129
"  Outubro/2021";128
"  Novembro/2021";152
"  Dezembro/2021";82
"2022";1612
"..Janeiro/2022";127
"..Fevereiro/2022";112
"..Março/2022";258
"..Abril/2022";94
"..Maio/2022";167
"..Junho/2022";117
"..Julho/2022";90
"..Agosto/2022";132
"..Setembro/2022";131
"..Outubro/2022";216
"..Novembro/2022";124
"..Dezembro/2022";44
"Total";4556
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
