 Produção Ambulatorial do SUS - São Paulo - por local de atendimento
Qtd.aprovada por Ano/mês atendimento
Município: 352440 JACAREI
Procedimento: 0301070229 REABILITACAO CARDIORRESPIRATORIA DE PACIENTES POS COVID-19, 0302040013 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO COM COMPLICACOES SISTEMICAS, 0302040021 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO SEM COMPLICACOES SISTEMICAS, 0303140089 TRATAMENTO DE DOENCAS RESPIRATORIAS QUE AFETAM PRINCIPALMENTE O INTERSTICIO, 0303140097 TRATAMENTO DE HEMORRAGIAS DAS VIAS RESPIRATORIAS, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0308010027 TRATAMENTO DE EFEITOS DE ASFIXIA / OUTROS RISCOS A RESPIRACAO
Período:2019-2022
"Ano/mês atendimento";"Qtd.aprovada"
"2019";427
"..Janeiro/2019";23
"..Fevereiro/2019";29
"..Março/2019";40
"..Abril/2019";56
"..Maio/2019";44
"..Junho/2019";27
"..Julho/2019";36
"..Agosto/2019";37
"..Setembro/2019";32
"..Outubro/2019";19
"..Novembro/2019";40
"..Dezembro/2019";44
"2020";304
"..Janeiro/2020";66
"..Fevereiro/2020";42
"..Março/2020";38
"..Abril/2020";5
"..Maio/2020";1
"..Junho/2020";3
"..Julho/2020";24
"..Agosto/2020";21
"..Setembro/2020";18
"..Outubro/2020";32
"..Novembro/2020";35
"..Dezembro/2020";19
"2021";794
"  Janeiro/2021";30
"  Fevereiro/2021";28
"  Março/2021";10
"  Abril/2021";24
"  Maio/2021";43
"  Junho/2021";66
"  Julho/2021";77
"  Agosto/2021";115
"  Setembro/2021";146
"  Outubro/2021";119
"  Novembro/2021";98
"  Dezembro/2021";38
"2022";413
"..Janeiro/2022";47
"..Fevereiro/2022";23
"..Março/2022";17
"..Abril/2022";28
"..Maio/2022";52
"..Junho/2022";48
"..Julho/2022";39
"..Agosto/2022";36
"..Setembro/2022";44
"..Outubro/2022";43
"..Novembro/2022";22
"..Dezembro/2022";14
"Total";1938
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
