 Produção Ambulatorial do SUS - São Paulo - por local de atendimento
Qtd.aprovada por Ano/mês atendimento
Município: 355410 TAUBATE
Procedimento: 0301070229 REABILITACAO CARDIORRESPIRATORIA DE PACIENTES POS COVID-19, 0302040013 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO COM COMPLICACOES SISTEMICAS, 0302040021 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO SEM COMPLICACOES SISTEMICAS, 0303140089 TRATAMENTO DE DOENCAS RESPIRATORIAS QUE AFETAM PRINCIPALMENTE O INTERSTICIO, 0303140097 TRATAMENTO DE HEMORRAGIAS DAS VIAS RESPIRATORIAS, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0308010027 TRATAMENTO DE EFEITOS DE ASFIXIA / OUTROS RISCOS A RESPIRACAO
Período:2019-2022
"Ano/mês atendimento";"Qtd.aprovada"
"2019";807
"..Janeiro/2019";67
"..Fevereiro/2019";55
"..Março/2019";29
"..Abril/2019";75
"..Maio/2019";86
"..Junho/2019";30
"..Julho/2019";109
"..Agosto/2019";87
"..Setembro/2019";67
"..Outubro/2019";86
"..Novembro/2019";42
"..Dezembro/2019";74
"2020";170
"..Janeiro/2020";64
"..Fevereiro/2020";6
"..Março/2020";16
"..Abril/2020";2
"..Maio/2020";5
"..Junho/2020";5
"..Julho/2020";8
"..Agosto/2020";5
"..Setembro/2020";4
"..Outubro/2020";32
"..Novembro/2020";15
"..Dezembro/2020";8
"2021";130
"  Janeiro/2021";6
"  Fevereiro/2021";14
"  Março/2021";6
"  Junho/2021";12
"  Julho/2021";12
"  Agosto/2021";21
"  Setembro/2021";18
"  Outubro/2021";11
"  Novembro/2021";10
"  Dezembro/2021";20
"2022";764
"..Fevereiro/2022";21
"..Março/2022";25
"..Abril/2022";8
"..Maio/2022";63
"..Agosto/2022";48
"..Setembro/2022";154
"..Outubro/2022";143
"..Novembro/2022";167
"..Dezembro/2022";135
"Total";1871
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
