 Procedimentos hospitalares do SUS - por local de internação - São Paulo
AIH aprovadas por Ano/mês atendimento
Município: 352440 JACAREI
Procedimento: 0303060298 TRATAMENTO DE TROMBOSE VENOSA PROFUNDA
Período:Mar/2019-Dez/2022
"Ano/mês atendimento";"AIH_aprovadas"
"2019";64
"..Março/2019";5
"..Abril/2019";2
"..Maio/2019";5
"..Junho/2019";4
"..Julho/2019";8
"..Agosto/2019";9
"..Setembro/2019";6
"..Outubro/2019";6
"..Novembro/2019";11
"..Dezembro/2019";8
"2020";68
"..Janeiro/2020";10
"..Fevereiro/2020";6
"..Março/2020";6
"..Abril/2020";4
"..Maio/2020";7
"..Junho/2020";4
"..Julho/2020";4
"..Agosto/2020";5
"..Setembro/2020";4
"..Outubro/2020";6
"..Novembro/2020";7
"..Dezembro/2020";5
"2021";72
"  Janeiro/2021";9
"  Fevereiro/2021";6
"  Março/2021";6
"  Abril/2021";6
"  Maio/2021";7
"  Junho/2021";7
"  Julho/2021";5
"  Agosto/2021";5
"  Setembro/2021";4
"  Outubro/2021";7
"  Novembro/2021";5
"  Dezembro/2021";5
"2022";80
"..Janeiro/2022";9
"..Fevereiro/2022";10
"..Março/2022";3
"..Abril/2022";6
"..Maio/2022";5
"..Junho/2022";7
"..Julho/2022";6
"..Agosto/2022";4
"..Setembro/2022";5
"..Outubro/2022";6
"..Novembro/2022";10
"..Dezembro/2022";9
"Total";284
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
