 Morbidade Hospitalar do SUS - por local de internação - São Paulo
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês atendimento
Município: 354990 SAO JOSE DOS CAMPOS
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2019-2022
"Ano/mês atendimento";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"2018";205;205;447582,39;392625,31;-;-;54957,08;-;-;2183,33;2183,33;1988;9,7;20;9,76
"..Outubro/2018";2;2;7077,78;6608,58;-;-;469,20;-;-;3538,89;3538,89;121;60,5;-;-
"..Novembro/2018";80;80;144264,04;126138,24;-;-;18125,80;-;-;1803,30;1803,30;671;8,4;2;2,50
"..Dezembro/2018";123;123;296240,57;259878,49;-;-;36362,08;-;-;2408,46;2408,46;1196;9,7;18;14,63
"2019";4336;4336;4957649,46;4198541,17;2108,24;-;754722,05;-;-;1143,37;1143,37;23746;5,5;433;9,99
"..Janeiro/2019";324;324;421906,03;355345,21;-;-;66560,82;-;-;1302,18;1302,18;1812;5,6;38;11,73
"..Fevereiro/2019";280;280;298089,29;249710,77;-;-;48378,52;-;-;1064,60;1064,60;1425;5,1;31;11,07
"..Março/2019";305;305;373020,74;321109,06;245,66;-;51532,70;-;-;1223,02;1223,02;1798;5,9;36;11,80
"..Abril/2019";435;435;517376,83;441427,53;-;-;75949,30;-;-;1189,37;1189,37;2556;5,9;39;8,97
"..Maio/2019";448;448;503311,72;432509,95;-;-;70801,77;-;-;1123,46;1123,46;2573;5,7;43;9,60
"..Junho/2019";476;476;498359,81;425051,44;-;-;73308,37;-;-;1046,97;1046,97;2497;5,2;50;10,50
"..Julho/2019";397;397;450298,75;378032,96;-;-;72265,79;-;-;1134,25;1134,25;2221;5,6;52;13,10
"..Agosto/2019";386;386;409332,50;340218,39;-;-;69114,11;-;-;1060,45;1060,45;1913;5,0;27;6,99
"..Setembro/2019";366;366;382643,51;322969,02;-;-;59674,49;-;-;1045,47;1045,47;2060;5,6;33;9,02
"..Outubro/2019";382;382;430195,97;362514,09;-;-;67681,88;-;-;1126,17;1126,17;1887;4,9;24;6,28
