 Morbidade Hospitalar do SUS - por local de internação - São Paulo
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês atendimento
Município: 352440 JACAREI
Capítulo CID-10: IX.  Doenças do aparelho circulatório
Período:2019-2022
"Ano/mês atendimento";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"2018";11;11;38554,24;32894,66;-;-;5659,58;-;-;3504,93;3504,93;105;9,5;2;18,18
"..Dezembro/2018";11;11;38554,24;32894,66;-;-;5659,58;-;-;3504,93;3504,93;105;9,5;2;18,18
"2019";1030;1030;1017507,16;814649,24;13617,89;-;167029,44;-;-;987,87;987,87;4643;4,5;118;11,46
"..Janeiro/2019";88;88;119353,96;100486,47;277,19;-;18176,82;-;-;1356,29;1356,29;401;4,6;13;14,77
"..Fevereiro/2019";76;76;59591,10;40552,84;3098,40;-;10690,95;-;-;784,09;784,09;237;3,1;7;9,21
"..Março/2019";80;80;74360,77;56231,88;1644,22;-;13156,63;-;-;929,51;929,51;377;4,7;8;10,00
"..Abril/2019";98;98;102022,96;81096,15;1280,94;-;17315,97;-;-;1041,05;1041,05;473;4,8;8;8,16
"..Maio/2019";90;90;97772,12;75191,68;2544,02;-;15417,14;-;-;1086,36;1086,36;427;4,7;7;7,78
"..Junho/2019";53;53;68063,41;57571,92;364,34;-;9917,99;-;-;1284,22;1284,22;309;5,8;13;24,53
"..Julho/2019";85;85;104193,54;79992,47;3863,86;-;15377,92;-;-;1225,81;1225,81;379;4,5;14;16,47
"..Agosto/2019";97;97;101744,43;83349,86;544,92;-;16747,12;-;-;1048,91;1048,91;537;5,5;12;12,37
"..Setembro/2019";89;89;75573,81;62063,35;-;-;13510,46;-;-;849,14;849,14;413;4,6;7;7,87
"..Outubro/2019";90;90;80571,35;66285,78;-;-;14285,57;-;-;895,24;895,24;386;4,3;14;15,56
"..Novembro/2019";101;101;74916,76;62476,30;-;-;12440,46;-;-;741,75;741,75;407;4,0;6;5,94
