  Dados detalhados das AIH - por residência - Brasil
Valor aprovado por Procedimento e Ano atendimento
Período:Jun/2020-Out/2022
"Procedimento";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"0201010011 AMNIOCENTESE";-;-;-;-;-;-;-;-;-;-;-;-;156,64;244,86;147,62;549,12
"0201010038 BIOPSIA CIRURGICA DE TIREOIDE";-;-;-;-;-;-;-;-;-;-;-;-;3877,14;13695,13;28400,93;45973,20
"0201010046 BIOPSIA DE ANUS E CANAL ANAL";-;-;-;-;-;-;-;-;-;-;-;-;11188,55;17214,83;16780,95;45184,33
"0201010062 BIOPSIA DE BEXIGA";-;-;-;-;-;-;-;-;-;-;-;-;20714,91;29603,16;31168,15;81486,22
"0201010070 BIOPSIA DE BOLSA ESCROTAL";-;-;-;-;-;-;-;-;-;-;-;-;797,32;1295,90;1130,93;3224,15
"0201010097 BIOPSIA DE CONJUNTIVA";-;-;-;-;-;-;-;-;-;-;-;-;870,80;1119,60;870,80;2861,20
"0201010100 BIOPSIA DE CORDAO ESPERMATICO (UNILATERAL)";-;-;-;-;-;-;-;-;-;-;-;-;554,28;277,14;554,28;1385,70
"0201010119 BIOPSIA DE CORNEA";-;-;-;-;-;-;-;-;-;-;-;-;926,37;686,20;686,20;2298,77
"0201010127 BIOPSIA DE CORPO VERTEBRAL A CEU ABERTO";-;-;-;-;-;-;-;-;-;-;-;-;182982,92;311882,80;262466,24;757331,96
"0201010135 BIOPSIA DE CORPO VERTEBRAL LAMINA E PEDICULO VERTEBRAL (POR DISPOSITIVO GUIADO)";-;-;-;-;-;-;-;-;-;-;-;-;56734,73;104152,65;77712,84;238600,22
"0201010143 BIOPSIA DE ENDOCARDIO / MIOCARDIO";-;-;-;-;-;-;-;-;-;-;-;-;633947,84;1102666,23;969456,24;2706070,31
"0201010160 BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UTERINA";-;-;-;-;-;-;-;-;-;-;-;-;3284,62;8615,82;7986,52;19886,96
"0201010178 BIOPSIA DE EPIDIDIMO";-;-;-;-;-;-;-;-;-;-;-;-;184,76;923,80;1750,59;2859,15
"0201010186 BIOPSIA DE ESCLERA";-;-;-;-;-;-;-;-;-;-;-;-;343,10;343,10;-;686,20
"0201010194 BIOPSIA DE FARINGE/LARINGE";-;-;-;-;-;-;-;-;-;-;-;-;16479,24;26580,94;20198,73;63258,91
"0201010208 BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO";-;-;-;-;-;-;-;-;-;-;-;-;139612,87;233818,31;178578,97;552010,15
"0201010216 BIOPSIA DE FIGADO POR PUNCAO";-;-;-;-;-;-;-;-;-;-;-;-;100214,11;138841,34;105600,30;344655,75
