 Morbidade Hospitalar do SUS - por local de internação - São Paulo
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês atendimento
Município: 355410 TAUBATE
Capítulo CID-10: IX.  Doenças do aparelho circulatório
Período:2019-2022
"Ano/mês atendimento";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"2018";55;55;446604,11;396039,87;-;-;50564,24;-;-;8120,07;8120,07;1113;20,2;7;12,73
"..Outubro/2018";2;2;5962,28;4911,41;-;-;1050,87;-;-;2981,14;2981,14;119;59,5;-;-
"..Novembro/2018";7;7;63272,81;55698,59;-;-;7574,22;-;-;9038,97;9038,97;258;36,9;1;14,29
"..Dezembro/2018";46;46;377369,02;335429,87;-;-;41939,15;-;-;8203,67;8203,67;736;16,0;6;13,04
"2019";2681;2681;13727925,83;11707869,25;-;-;2020056,58;-;-;5120,45;5120,45;15685;5,9;171;6,38
"..Janeiro/2019";232;232;1238149,50;1067075,92;-;-;171073,58;-;-;5336,85;5336,85;1289;5,6;18;7,76
"..Fevereiro/2019";252;252;1230221,64;1033729,00;-;-;196492,64;-;-;4881,83;4881,83;1492;5,9;21;8,33
"..Março/2019";224;224;1082751,97;930367,24;-;-;152384,73;-;-;4833,71;4833,71;1114;5,0;12;5,36
"..Abril/2019";214;214;1096827,21;923589,45;-;-;173237,76;-;-;5125,36;5125,36;1056;4,9;16;7,48
"..Maio/2019";210;210;1023351,48;879886,15;-;-;143465,33;-;-;4873,10;4873,10;1226;5,8;10;4,76
"..Junho/2019";188;188;916621,67;781706,49;-;-;134915,18;-;-;4875,65;4875,65;1322;7,0;11;5,85
"..Julho/2019";210;210;972916,66;803912,89;-;-;169003,77;-;-;4632,94;4632,94;1188;5,7;10;4,76
"..Agosto/2019";236;236;1193047,91;1022028,88;-;-;171019,03;-;-;5055,29;5055,29;1291;5,5;17;7,20
"..Setembro/2019";230;230;1251242,83;1082432,29;-;-;168810,54;-;-;5440,19;5440,19;1378;6,0;15;6,52
