 Morbidade Hospitalar do SUS - por local de internação - São Paulo
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês atendimento
Município: 355410 TAUBATE
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2019-2022
"Ano/mês atendimento";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"2018";20;20;283607,97;246700,47;-;-;36907,50;-;-;14180,40;14180,40;604;30,2;3;15,00
"..Novembro/2018";5;5;182336,90;158334,95;-;-;24001,95;-;-;36467,38;36467,38;354;70,8;1;20,00
"..Dezembro/2018";15;15;101271,07;88365,52;-;-;12905,55;-;-;6751,40;6751,40;250;16,7;2;13,33
"2019";1388;1388;3626327,95;2913799,04;-;-;712528,91;-;-;2612,63;2612,63;10279;7,4;122;8,79
"..Janeiro/2019";114;114;302512,02;231408,88;-;-;71103,14;-;-;2653,61;2653,61;854;7,5;11;9,65
"..Fevereiro/2019";87;87;168869,77;130173,55;-;-;38696,22;-;-;1941,03;1941,03;539;6,2;5;5,75
"..Março/2019";82;82;308353,28;253474,72;-;-;54878,56;-;-;3760,41;3760,41;660;8,0;13;15,85
"..Abril/2019";101;101;272261,11;212392,20;-;-;59868,91;-;-;2695,65;2695,65;728;7,2;6;5,94
"..Maio/2019";115;115;380739,80;321206,22;-;-;59533,58;-;-;3310,78;3310,78;1099;9,6;19;16,52
"..Junho/2019";134;134;440466,11;363451,99;-;-;77014,12;-;-;3287,06;3287,06;1283;9,6;10;7,46
"..Julho/2019";144;144;320652,17;252904,78;-;-;67747,39;-;-;2226,75;2226,75;1032;7,2;11;7,64
"..Agosto/2019";120;120;311149,78;254346,03;-;-;56803,75;-;-;2592,91;2592,91;956;8,0;9;7,50
"..Setembro/2019";129;129;247708,62;195283,91;-;-;52424,71;-;-;1920,22;1920,22;829;6,4;8;6,20
"..Outubro/2019";145;145;358011,85;282012,91;-;-;75998,94;-;-;2469,05;2469,05;928;6,4;12;8,28
"..Novembro/2019";134;134;269034,41;213200,12;-;-;55834,29;-;-;2007,72;2007,72;780;5,8;9;6,72
"..Dezembro/2019";83;83;246569,03;203943,73;-;-;42625,30;-;-;2970,71;2970,71;591;7,1;9;10,84
"2020";1666;1666;4710726,25;3980930,54;-;-;729795,71;-;-;2827,57;2827,57;12482;7,5;229;13,75
"..Janeiro/2020";130;130;367346,60;296517,16;-;-;70829,44;-;-;2825,74;2825,74;949;7,3;11;8,46
"..Fevereiro/2020";109;109;186861,95;143913,57;-;-;42948,38;-;-;1714,33;1714,33;656;6,0;6;5,50
"..Março/2020";122;122;274128,56;221843,07;-;-;52285,49;-;-;2246,96;2246,96;880;7,2;9;7,38
"..Abril/2020";80;80;353233,22;303779,58;-;-;49453,64;-;-;4415,42;4415,42;812;10,2;12;15,00
"..Maio/2020";83;83;418572,53;357388,02;-;-;61184,51;-;-;5043,04;5043,04;720;8,7;14;16,87
"..Junho/2020";112;112;301060,66;257858,67;-;-;43201,99;-;-;2688,04;2688,04;910;8,1;16;14,29
"..Julho/2020";188;188;328167,95;279713,64;-;-;48454,31;-;-;1745,57;1745,57;1152;6,1;24;12,77
"..Agosto/2020";195;195;535369,06;456252,75;-;-;79116,31;-;-;2745,48;2745,48;1443;7,4;19;9,74
"..Setembro/2020";187;187;696421,82;596733,56;-;-;99688,26;-;-;3724,18;3724,18;1467;7,8;36;19,25
"..Outubro/2020";157;157;522908,63;446974,17;-;-;75934,46;-;-;3330,63;3330,63;1288;8,2;24;15,29
"..Novembro/2020";161;161;481086,24;410896,98;-;-;70189,26;-;-;2988,11;2988,11;1225;7,6;30;18,63
"..Dezembro/2020";142;142;245569,03;209059,37;-;-;36509,66;-;-;1729,36;1729,36;980;6,9;28;19,72
"2021";1839;1839;5872317,12;4993482,13;595,68;-;877608,71;-;-;3193,21;3193,21;12853;7,0;252;13,70
"  Janeiro/2021";157;157;276843,97;235883,85;-;-;40960,12;-;-;1763,34;1763,34;1040;6,6;35;22,29
"  Fevereiro/2021";160;160;264868,19;222778,21;-;-;42089,98;-;-;1655,43;1655,43;830;5,2;19;11,88
"  Março/2021";206;206;499943,30;425443,03;-;-;74500,27;-;-;2426,91;2426,91;1440;7,0;25;12,14
"  Abril/2021";171;171;327241,68;280964,48;-;-;46277,20;-;-;1913,69;1913,69;1091;6,4;16;9,36
"  Maio/2021";169;169;505609,76;429068,21;-;-;76541,55;-;-;2991,77;2991,77;1071;6,3;25;14,79
"  Junho/2021";121;121;376193,62;320144,24;-;-;56049,38;-;-;3109,04;3109,04;812;6,7;20;16,53
"  Julho/2021";171;171;811476,04;695772,94;-;-;115703,10;-;-;4745,47;4745,47;1356;7,9;24;14,04
"  Agosto/2021";130;130;822629,24;705631,47;-;-;116997,77;-;-;6327,92;6327,92;1097;8,4;19;14,62
"  Setembro/2021";126;126;303313,70;255619,07;-;-;47694,63;-;-;2407,25;2407,25;778;6,2;15;11,90
"  Outubro/2021";122;122;421677,87;359351,24;-;-;62326,63;-;-;3456,38;3456,38;1204;9,9;20;16,39
"  Novembro/2021";158;158;575490,69;481337,60;297,84;-;93539,95;-;-;3642,35;3642,35;995;6,3;21;13,29
"  Dezembro/2021";148;148;687029,06;581487,79;297,84;-;104928,13;-;-;4642,09;4642,09;1139;7,7;13;8,78
"2022";1622;1622;3735869,51;3017681,81;-;-;718187,70;-;-;2303,25;2303,25;8878;5,5;142;8,75
"..Janeiro/2022";128;128;393125,59;324783,49;-;-;68342,10;-;-;3071,29;3071,29;1042;8,1;18;14,06
"..Fevereiro/2022";87;87;287931,97;229788,98;-;-;58142,99;-;-;3309,56;3309,56;557;6,4;10;11,49
"..Março/2022";131;131;242665,66;186916,86;-;-;55748,80;-;-;1852,41;1852,41;541;4,1;9;6,87
"..Abril/2022";127;127;272776,02;219258,36;-;-;53517,66;-;-;2147,84;2147,84;749;5,9;11;8,66
