 Procedimentos hospitalares do SUS - por local de internação - São Paulo
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês atendimento
Município: 355410 TAUBATE
Procedimento: 0303040300 TRATAMENTO DO ACIDENTE VASCULAR CEREBRAL ISQUÊMICO AGUDO COM USO DE TROMBOLÍTICO, 0303060298 TRATAMENTO DE TROMBOSE VENOSA PROFUNDA
Período:2019-2022
"Ano/mês atendimento";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"2018";3;3;1904,65;1653,37;-;-;251,28;-;-;634,88;634,88;26;8,7;-;-
"..Dezembro/2018";3;3;1904,65;1653,37;-;-;251,28;-;-;634,88;634,88;26;8,7;-;-
"2019";79;79;69140,91;60450,68;-;-;8690,23;-;-;875,20;875,20;701;8,9;4;5,06
"..Janeiro/2019";6;6;3709,94;3245,01;-;-;464,93;-;-;618,32;618,32;42;7,0;-;-
"..Fevereiro/2019";7;7;3892,79;3415,58;-;-;477,21;-;-;556,11;556,11;49;7,0;-;-
"..Março/2019";7;7;5770,84;5095,70;-;-;675,14;-;-;824,41;824,41;79;11,3;-;-
"..Abril/2019";6;6;3675,23;3229,16;-;-;446,07;-;-;612,54;612,54;44;7,3;-;-
"..Maio/2019";4;4;2603,42;2299,34;-;-;304,08;-;-;650,86;650,86;16;4,0;-;-
"..Junho/2019";4;4;4832,98;4221,02;-;-;611,96;-;-;1208,25;1208,25;44;11,0;-;-
"..Julho/2019";13;13;15908,75;14015,86;-;-;1892,89;-;-;1223,75;1223,75;142;10,9;1;7,69
"..Agosto/2019";3;3;1682,83;1454,77;-;-;228,06;-;-;560,94;560,94;10;3,3;1;33,33
"..Setembro/2019";8;8;5197,63;4526,18;-;-;671,45;-;-;649,70;649,70;67;8,4;-;-
"..Outubro/2019";9;9;5961,16;5181,27;-;-;779,89;-;-;662,35;662,35;86;9,6;1;11,11
"..Novembro/2019";8;8;9846,70;8522,29;-;-;1324,41;-;-;1230,84;1230,84;82;10,3;1;12,50
"..Dezembro/2019";4;4;6058,64;5244,50;-;-;814,14;-;-;1514,66;1514,66;40;10,0;-;-
"2020";105;105;111384,87;98065,58;-;-;13319,29;-;-;1060,81;1060,81;817;7,8;4;3,81
"..Janeiro/2020";6;6;3309,04;2891,99;-;-;417,05;-;-;551,51;551,51;36;6,0;-;-
"..Fevereiro/2020";11;11;22303,24;20280,12;-;-;2023,12;-;-;2027,57;2027,57;115;10,5;-;-
"..Março/2020";10;10;7509,20;6495,71;-;-;1013,49;-;-;750,92;750,92;121;12,1;-;-
"..Abril/2020";7;7;3721,30;3219,04;-;-;502,26;-;-;531,61;531,61;40;5,7;-;-
"..Maio/2020";7;7;8535,43;7477,38;-;-;1058,05;-;-;1219,35;1219,35;43;6,1;1;14,29
"..Junho/2020";9;9;6674,45;5930,67;-;-;743,78;-;-;741,61;741,61;65;7,2;-;-
"..Julho/2020";9;9;4252,47;3648,37;-;-;604,10;-;-;472,50;472,50;54;6,0;-;-
"..Agosto/2020";7;7;4617,73;4126,79;-;-;490,94;-;-;659,68;659,68;39;5,6;-;-
"..Setembro/2020";8;8;32456,47;28355,33;-;-;4101,14;-;-;4057,06;4057,06;124;15,5;1;12,50
"..Outubro/2020";7;7;4082,59;3533,04;-;-;549,55;-;-;583,23;583,23;48;6,9;1;14,29
"..Novembro/2020";11;11;6340,10;5516,23;-;-;823,87;-;-;576,37;576,37;70;6,4;1;9,09
"..Dezembro/2020";13;13;7582,85;6590,91;-;-;991,94;-;-;583,30;583,30;62;4,8;-;-
"2021";103;103;75584,94;67385,83;-;-;8199,11;-;-;733,83;733,83;674;6,5;-;-
"  Janeiro/2021";5;5;3594,15;3189,08;-;-;405,07;-;-;718,83;718,83;43;8,6;-;-
"  Fevereiro/2021";9;9;4838,37;4195,39;-;-;642,98;-;-;537,60;537,60;56;6,2;-;-
"  Março/2021";13;13;9380,33;8355,68;-;-;1024,65;-;-;721,56;721,56;80;6,2;-;-
"  Abril/2021";6;6;2756,28;2376,18;-;-;380,10;-;-;459,38;459,38;21;3,5;-;-
"  Maio/2021";13;13;10134,40;9067,01;-;-;1067,39;-;-;779,57;779,57;99;7,6;-;-
"  Junho/2021";10;10;9618,60;8849,10;-;-;769,50;-;-;961,86;961,86;61;6,1;-;-
"  Julho/2021";6;6;3677,41;3212,30;-;-;465,11;-;-;612,90;612,90;31;5,2;-;-
"  Agosto/2021";5;5;2276,53;1964,71;-;-;311,82;-;-;455,31;455,31;26;5,2;-;-
"  Setembro/2021";8;8;4434,28;3861,51;-;-;572,77;-;-;554,29;554,29;44;5,5;-;-
"  Outubro/2021";6;6;5748,60;5252,04;-;-;496,56;-;-;958,10;958,10;47;7,8;-;-
