 Produção Ambulatorial do SUS - São Paulo - por local de atendimento
Qtd.aprovadaValor aprovadoQtd.apresentadaValor apresentadoDiferença de valorValor do complemento federalValor do complemento do gestorValor do incremento por Ano/mês atendimento
Município: 354990 SAO JOSE DOS CAMPOS
Procedimento: 0301070229 REABILITACAO CARDIORRESPIRATORIA DE PACIENTES POS COVID-19, 0302040013 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO COM COMPLICACOES SISTEMICAS, 0302040021 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO SEM COMPLICACOES SISTEMICAS, 0303140097 TRATAMENTO DE HEMORRAGIAS DAS VIAS RESPIRATORIAS, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0308010027 TRATAMENTO DE EFEITOS DE ASFIXIA / OUTROS RISCOS A RESPIRACAO
Período:2019-2022
"Ano/mês atendimento";"Qtd.aprovada";"Valor_aprovado";"Qtd.apresentada";"Valor_apresentado";"Diferença_de_valor";"Valor_do_complemento_federal";"Valor_do_complemento_do_gestor";"Valor_do_incremento"
"2018";65;395,95;69;421,35;-;-;-;-
"..Novembro/2018";31;196,85;35;222,25;-;-;-;-
"..Dezembro/2018";34;199,10;34;199,10;-;-;-;-
"2019";802;4380,38;802;4380,38;-;-;-;-
"..Janeiro/2019";65;337,15;65;337,15;-;-;-;-
"..Fevereiro/2019";89;477,79;89;477,79;-;-;-;-
"..Março/2019";135;761,49;135;761,49;-;-;-;-
"..Abril/2019";26;148,30;26;148,30;-;-;-;-
"..Maio/2019";86;448,66;86;448,66;-;-;-;-
"..Junho/2019";66;380,46;66;380,46;-;-;-;-
"..Julho/2019";32;149,44;32;149,44;-;-;-;-
"..Agosto/2019";60;381,00;60;381,00;-;-;-;-
"..Setembro/2019";39;212,37;39;212,37;-;-;-;-
"..Outubro/2019";88;491,60;88;491,60;-;-;-;-
"..Novembro/2019";59;309,13;59;309,13;-;-;-;-
"..Dezembro/2019";57;282,99;57;282,99;-;-;-;-
"2020";638;3056,74;638;3056,74;-;-;-;-
"..Janeiro/2020";70;355,46;70;355,46;-;-;-;-
"..Fevereiro/2020";77;396,55;77;396,55;-;-;-;-
"..Março/2020";46;226,58;46;226,58;-;-;-;-
"..Abril/2020";16;74,72;16;74,72;-;-;-;-
"..Maio/2020";50;233,50;50;233,50;-;-;-;-
"..Junho/2020";102;476,34;102;476,34;-;-;-;-
"..Julho/2020";26;121,42;26;121,42;-;-;-;-
"..Agosto/2020";40;186,80;40;186,80;-;-;-;-
"..Setembro/2020";45;210,15;45;210,15;-;-;-;-
"..Outubro/2020";44;205,48;44;205,48;-;-;-;-
"..Novembro/2020";61;284,87;61;284,87;-;-;-;-
"..Dezembro/2020";61;284,87;61;284,87;-;-;-;-
"2021";1439;6822,61;1439;6822,61;-;-;-;-
"  Janeiro/2021";131;611,77;131;611,77;-;-;-;-
"  Fevereiro/2021";28;130,76;28;130,76;-;-;-;-
"  Março/2021";103;481,01;103;481,01;-;-;-;-
"  Abril/2021";127;593,09;127;593,09;-;-;-;-
"  Maio/2021";129;602,43;129;602,43;-;-;-;-
"  Junho/2021";75;350,25;75;350,25;-;-;-;-
"  Julho/2021";143;667,81;143;667,81;-;-;-;-
"  Agosto/2021";212;1006,84;212;1006,84;-;-;-;-
"  Setembro/2021";129;652,83;129;652,83;-;-;-;-
"  Outubro/2021";128;597,76;128;597,76;-;-;-;-
"  Novembro/2021";152;711,52;152;711,52;-;-;-;-
"  Dezembro/2021";82;416,54;82;416,54;-;-;-;-
"2022";1612;7628,84;1612;7628,84;-;-;-;-
"..Janeiro/2022";127;593,09;127;593,09;-;-;-;-
"..Fevereiro/2022";112;523,04;112;523,04;-;-;-;-
"..Março/2022";258;1272,06;258;1272,06;-;-;-;-
"..Abril/2022";94;438,98;94;438,98;-;-;-;-
"..Maio/2022";167;796,69;167;796,69;-;-;-;-
"..Junho/2022";117;546,39;117;546,39;-;-;-;-
"..Julho/2022";90;420,30;90;420,30;-;-;-;-
"..Agosto/2022";132;616,44;132;616,44;-;-;-;-
"..Setembro/2022";131;611,77;131;611,77;-;-;-;-
"..Outubro/2022";216;1025,52;216;1025,52;-;-;-;-
"..Novembro/2022";124;579,08;124;579,08;-;-;-;-
"..Dezembro/2022";44;205,48;44;205,48;-;-;-;-
"Total";4556;22284,52;4560;22309,92;-;-;-;-
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
