 Produção Ambulatorial do SUS - São Paulo - por local de atendimento
Qtd.aprovadaValor aprovadoQtd.apresentadaValor apresentadoDiferença de valorValor do complemento federalValor do complemento do gestorValor do incremento por Ano/mês atendimento
Município: 355410 TAUBATE
Procedimento: 0301070210 REABILITACAO DE PACIENTES POS COVID-19, 0301070229 REABILITACAO CARDIORRESPIRATORIA DE PACIENTES POS COVID-19, 0302040013 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO COM COMPLICACOES SISTEMICAS, 0302040021 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO SEM COMPLICACOES SISTEMICAS, 0303140097 TRATAMENTO DE HEMORRAGIAS DAS VIAS RESPIRATORIAS, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0308010027 TRATAMENTO DE EFEITOS DE ASFIXIA / OUTROS RISCOS A RESPIRACAO
Período:2019-2022
"Ano/mês atendimento";"Qtd.aprovada";"Valor_aprovado";"Qtd.apresentada";"Valor_apresentado";"Diferença_de_valor";"Valor_do_complemento_federal";"Valor_do_complemento_do_gestor";"Valor_do_incremento"
"2019";807;3777,09;812;3803,80;-;-;-;-
"..Janeiro/2019";67;312,89;67;312,89;-;-;-;-
"..Fevereiro/2019";55;256,85;55;256,85;-;-;-;-
"..Março/2019";29;135,43;29;135,43;-;-;-;-
"..Abril/2019";75;350,25;75;350,25;-;-;-;-
"..Maio/2019";86;401,62;86;401,62;-;-;-;-
"..Junho/2019";30;140,10;30;140,10;-;-;-;-
"..Julho/2019";109;510,71;109;510,71;-;-;-;-
"..Agosto/2019";87;407,97;92;434,68;-;-;-;-
"..Setembro/2019";67;316,25;67;316,25;-;-;-;-
"..Outubro/2019";86;403,30;86;403,30;-;-;-;-
"..Novembro/2019";42;196,14;42;196,14;-;-;-;-
"..Dezembro/2019";74;345,58;74;345,58;-;-;-;-
"2020";170;800,62;173;814,63;-;-;-;-
"..Janeiro/2020";64;298,88;64;298,88;-;-;-;-
"..Fevereiro/2020";6;28,02;6;28,02;-;-;-;-
"..Março/2020";16;74,72;16;74,72;-;-;-;-
"..Abril/2020";2;9,34;2;9,34;-;-;-;-
"..Maio/2020";5;23,35;8;37,36;-;-;-;-
"..Junho/2020";5;23,35;5;23,35;-;-;-;-
"..Julho/2020";8;40,72;8;40,72;-;-;-;-
"..Agosto/2020";5;23,35;5;23,35;-;-;-;-
"..Setembro/2020";4;18,68;4;18,68;-;-;-;-
"..Outubro/2020";32;149,44;32;149,44;-;-;-;-
"..Novembro/2020";15;71,73;15;71,73;-;-;-;-
"..Dezembro/2020";8;39,04;8;39,04;-;-;-;-
"2021";130;649,10;140;695,80;-;-;-;-
"  Janeiro/2021";6;29,70;6;29,70;-;-;-;-
"  Fevereiro/2021";14;70,42;14;70,42;-;-;-;-
"  Março/2021";6;28,02;6;28,02;-;-;-;-
"  Junho/2021";12;57,72;12;57,72;-;-;-;-
"  Julho/2021";12;56,04;22;102,74;-;-;-;-
"  Agosto/2021";21;98,07;21;98,07;-;-;-;-
"  Setembro/2021";18;84,06;18;84,06;-;-;-;-
"  Outubro/2021";11;51,37;11;51,37;-;-;-;-
"  Novembro/2021";10;46,70;10;46,70;-;-;-;-
"  Dezembro/2021";20;127,00;20;127,00;-;-;-;-
"2022";764;4167,64;837;4624,47;-;-;-;-
"..Fevereiro/2022";21;98,07;21;98,07;-;-;-;-
"..Março/2022";25;116,75;29;135,43;-;-;-;-
"..Abril/2022";8;37,36;8;37,36;-;-;-;-
"..Maio/2022";63;294,21;63;294,21;-;-;-;-
"..Agosto/2022";48;224,16;48;224,16;-;-;-;-
"..Setembro/2022";154;887,18;223;1325,33;-;-;-;-
"..Outubro/2022";143;820,69;143;820,69;-;-;-;-
"..Novembro/2022";167;904,21;167;904,21;-;-;-;-
"..Dezembro/2022";135;785,01;135;785,01;-;-;-;-
"Total";1871;9394,45;1962;9938,70;-;-;-;-
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
