 Produção Ambulatorial do SUS - São Paulo - por local de atendimento
Qtd.aprovadaValor aprovadoQtd.apresentadaValor apresentadoDiferença de valorValor do complemento federalValor do complemento do gestorValor do incremento por Ano/mês atendimento
Município: 352440 JACAREI
Procedimento: 0302040030 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO CLINICO CARDIOVASCULAR, 0302040048 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE PRE/POS CIRURGIA CARDIOVASCULAR, 0303060034 TRATAMENTO DE CARDIOPATIA HIPERTROFICA, 0303060042 TRATAMENTO DE CARDIOPATIA ISQUEMICA CRONICA, 0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO, 0303060239 TRATAMENTO DE MIOCARDIOPATIAS, 0303130024 ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES CARDIOVASCULARES, 0303140062 TRATAMENTO DE CARDIOPATIA PULMONAR NAO ESPECIFICADA (COR PULMONALE)
Período:2019-2022
"Ano/mês atendimento";"Qtd.aprovada";"Valor_aprovado";"Qtd.apresentada";"Valor_apresentado";"Diferença_de_valor";"Valor_do_complemento_federal";"Valor_do_complemento_do_gestor";"Valor_do_incremento"
"2019";45;257,19;45;257,19;-;-;-;-
"..Janeiro/2019";17;94,51;17;94,51;-;-;-;-
"..Fevereiro/2019";9;57,15;9;57,15;-;-;-;-
"..Março/2019";2;9,34;2;9,34;-;-;-;-
"..Julho/2019";3;19,05;3;19,05;-;-;-;-
"..Agosto/2019";10;58,46;10;58,46;-;-;-;-
"..Setembro/2019";4;18,68;4;18,68;-;-;-;-
"2020";9;57,15;9;57,15;-;-;-;-
"..Março/2020";9;57,15;9;57,15;-;-;-;-
"2021";79;468,05;79;468,05;-;-;-;-
"  Maio/2021";1;4,67;1;4,67;-;-;-;-
"  Agosto/2021";6;34,74;6;34,74;-;-;-;-
"  Setembro/2021";23;122,53;23;122,53;-;-;-;-
"  Outubro/2021";17;102,91;17;102,91;-;-;-;-
"  Novembro/2021";22;139,70;22;139,70;-;-;-;-
"  Dezembro/2021";10;63,50;10;63,50;-;-;-;-
"2022";36;176,52;36;176,52;-;-;-;-
"..Janeiro/2022";5;31,75;5;31,75;-;-;-;-
"..Março/2022";1;4,67;1;4,67;-;-;-;-
"..Agosto/2022";6;28,02;6;28,02;-;-;-;-
"..Setembro/2022";5;23,35;5;23,35;-;-;-;-
"..Outubro/2022";6;28,02;6;28,02;-;-;-;-
"..Novembro/2022";7;32,69;7;32,69;-;-;-;-
"..Dezembro/2022";6;28,02;6;28,02;-;-;-;-
"Total";169;958,91;169;958,91;-;-;-;-
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
